brand,tier,year,season,dispersion_mean,dispersion_std,lab_entropy_mean,mean_L,saturation_mean,saturation_std,value_mean,hue_conc_mean,hue_mean,n_images,ARI_raw,ARI
Isabel Marant,Fast Fashion,2016,Spring,27.05226885477702,7.196687221050838,2.5761097100938852,38.20142990748088,0.20465424505403884,0.1848544453324072,0.4063762161925435,0.5081120871908646,0.4012885228573034,30,0.6899588902692733,0.3898950297891229
Isabel Marant,Fast Fashion,2017,Fall,25.456310431162517,7.093340744268003,2.2736497805572724,28.365007464090983,0.4115758014947176,0.210348410975399,0.3494933399812318,0.7498428439839595,0.6481637581144459,30,1.4031898690522018,0.7929410918676413
Isabel Marant,Fast Fashion,2017,Pre-Fall,23.19420167674189,5.4548097824884545,2.005053890871195,31.164553434952445,0.5478415061607957,0.19353530085502416,0.390900274756162,0.8631082622796238,0.2848603154919717,23,1.0627878475536898,0.6005802741663977
Isabel Marant,Fast Fashion,2017,Resort,24.004328982035318,5.931803012056507,1.252290469394591,38.45464572906494,0.11411825902915246,0.0893281262142997,0.38625151306465266,0.8749178338815824,0.16983665333390233,15,-1.956902720033744,-1.105843630805595
Isabel Marant,Fast Fashion,2017,Spring,24.128540007273354,7.185694391220956,1.9218724356233958,29.106559340159098,0.46390915201821675,0.21786355685756725,0.3516653663670333,0.8678184515445146,0.22208950356628432,30,1.1278514435326594,0.6373476425562845
Isabel Marant,Fast Fashion,2018,Fall,23.959542338053385,6.789433813161243,2.121031753124816,38.13052527109782,0.2092200000759214,0.16780944119253313,0.4088776557206176,0.7333967972737155,0.2880572723376875,30,-0.2071514472727319,-0.11706106094776211
Isabel Marant,Fast Fashion,2019,Fall,22.57377496258966,5.634909227897171,2.1555326174795564,44.38497365754226,0.2805808597177524,0.19717326905936092,0.46898202769259184,0.7467723900970095,0.24292815363216053,29,-0.13059712467507592,-0.07380029525482316
Isabel Marant,Fast Fashion,2019,Pre-Fall,24.819805092281765,4.062966956119209,1.2402347848192408,45.19803672366672,0.13850492706315384,0.07182278068933073,0.46351156467245885,0.8736258806201621,0.17480504094566113,18,-2.3959866833674632,-1.353969508127232
Isabel Marant,Fast Fashion,2019,Resort,22.795250058174133,4.718375658390698,1.5934824263110128,38.3471314907074,0.6246206952879826,0.15844464239974812,0.47620000938574475,0.9069402629199127,0.14039515051990745,24,0.1892327310033265,0.10693521357891957
Isabel Marant,Fast Fashion,2019,Spring,22.56283473968506,8.234493430614819,2.438714942420545,33.796267476575125,0.32538385905999817,0.17647253137311564,0.3799786422157917,0.6250831775617047,0.5070153635105936,29,0.7576697490617734,0.4281583635591184
Isabel Marant,Fast Fashion,2020,Fall,22.203438886006673,5.425853275793097,2.100672879951083,45.86295782725016,0.3147673269927501,0.18389905101866058,0.49357150820459544,0.7843382519083276,0.3544010817770846,30,-0.3430455218472028,-0.19385465691650186
Isabel Marant,Fast Fashion,2020,Pre-Fall,21.066477576891582,6.573859954576914,1.9708049300817363,46.84282994270325,0.27338360120837263,0.13227894804956733,0.5088653729635989,0.6691838929098792,0.4530147492591447,24,-0.9867706094427245,-0.5576230143415487
Isabel Marant,Fast Fashion,2020,Resort,20.893734849017598,4.58071351073691,2.276506713985957,44.835596996804945,0.17240576956623596,0.16958002087256177,0.4540637811486731,0.5687197113505319,0.2798712957539069,23,-0.44661204678824934,-0.2523799892175118
Isabel Marant,Fast Fashion,2020,Spring,24.132107496261597,6.380105876256694,2.0977392477153254,51.3489784513201,0.22038487714848345,0.17645556665996281,0.544746790211681,0.7873177725637136,0.32095189456598433,28,-0.9231955141165747,-0.5216967960760496
Isabel Marant,Fast Fashion,2021,Fall,28.70546531677246,5.960265471328372,2.4108188512172575,47.72266808871565,0.26783760282618857,0.1980935833224407,0.5279313119505693,0.646129345286659,0.3840421691683908,29,0.17847177516849852,0.10085420896407617
Isabel Marant,Fast Fashion,2021,Resort,24.200585031509398,7.316602773136819,1.841599876196987,65.56711483001709,0.2808809523528907,0.16152737007557844,0.724714124923665,0.7856489673059277,0.3394175662220688,20,-1.9460641926123472,-1.099718790570278
Isabel Marant,Fast Fashion,2021,Spring,27.019905471801756,5.688500174317463,1.9367094038997468,45.74060662587484,0.33513466279696047,0.18458569046743512,0.5439132200280204,0.7966277442079611,0.5839908605412657,30,-0.3330797981662205,-0.18822303713992314
Isabel Marant,Fast Fashion,2022,Fall,24.060736179351807,8.118752181336012,1.9740191458565954,49.744105402628584,0.3520410614749106,0.1455883247295174,0.5710933471980194,0.6535880566735316,0.3976279281831191,30,-0.7208106027763294,-0.40732929947769736
Isabel Marant,Fast Fashion,2022,Pre-Fall,20.3723744062277,8.261935996295017,2.097447867623356,41.860910158890945,0.1937784321212496,0.1244714011416521,0.45307813871823827,0.6893377066580209,0.5263793691360534,26,-0.9677964337665694,-0.5469007279925877
Isabel Marant,Fast Fashion,2022,Resort,27.89464505513509,7.575062940378675,2.629348886833648,61.304660978771395,0.2897327624181551,0.2146539698681526,0.6641931027337643,0.5246303962067991,0.35620665667911194,21,-0.09488637028823946,-0.053620186205117784
Isabel Marant,Fast Fashion,2022,Spring,29.93432919184367,6.887544459981902,2.6077573354326407,45.59578641255697,0.34028431183925517,0.23208251305507802,0.5291696790861586,0.6131177063428127,0.48916149455889824,30,0.9979157372907819,0.5639211141495329
Isabel Marant,Fast Fashion,2023,Fall,26.341089839027042,7.975135860757933,2.2473466322719355,45.46709460303897,0.30153639475194116,0.18583931991994432,0.5129736813951196,0.7429286202894559,0.4213264620101212,21,-0.059235636862216674,-0.03347399493607217
Isabel Marant,Fast Fashion,2023,Pre-Fall,27.669584187594328,8.141558962486577,2.2329696864229684,39.74730482968417,0.2661690253197554,0.19262161495856162,0.4491668533709493,0.6108911930413103,0.5020109180061211,22,0.4246942910903761,0.23999428895151792
Isabel Marant,Fast Fashion,2023,Resort,24.517581276271653,5.450142914773496,2.1452702160145343,65.63161526555601,0.24171422974259144,0.1499198829271279,0.7174124568616567,0.753024376662309,0.4646332590406274,23,-1.8553118073804469,-1.0484347148920645
Isabel Marant,Fast Fashion,2023,Spring,24.44300496989283,6.745241968555605,2.0795669853608754,51.93621513761323,0.2637683943235476,0.19327749284785944,0.5579534995306347,0.8137210257980257,0.26114784129172686,29,-0.7301826457590934,-0.4126254309276793
Lacoste,Fast Fashion,2006,Fall,32.59302609761556,7.526688272342694,2.2417216801599773,38.79666964213053,0.5240883098724608,0.2573764735165811,0.47077255712002514,0.6938222721540908,0.4235064353578491,30,1.8860684893840551,1.0658152829449399
Lacoste,Fast Fashion,2006,Spring,29.92004305521647,7.60336986918411,2.3394203679929215,59.64616349538167,0.4093076130884389,0.24553750998675597,0.6725712470069838,0.5485774645773742,0.4350612006931177,30,0.4010095754873199,0.22661008153591886
Lacoste,Fast Fashion,2007,Fall,25.088583617374816,6.643174290029476,2.336261734317344,47.20657874797953,0.2850436847522726,0.1984903101748106,0.5084073163945677,0.5743099955154488,0.3629761804277639,29,0.16750093515439834,0.09465459902435946
Lacoste,Fast Fashion,2007,Spring,30.411421512735302,9.17595047879777,2.4517475038817045,63.14914367938864,0.3056039225346376,0.22892317917811975,0.6876879094134823,0.46657347477843897,0.45986645729248893,29,-0.001977359521007524,-0.001117403747122007
Lacoste,Fast Fashion,2008,Fall,23.57460331094676,8.010727500248073,1.9676349039581833,41.118317242326405,0.3081977022359918,0.18668607727974273,0.44483355333938684,0.873753076413717,0.17362721827036923,29,-0.22207350804810322,-0.1254935015070219
Lacoste,Fast Fashion,2008,Spring,22.437048403422036,6.299648752910976,1.7159947354374396,69.15056953430175,0.25328158476147794,0.1643643839159704,0.717824587435027,0.8609851548447025,0.18629898683602608,30,-2.3630992939962474,-1.3353848796233914
Lacoste,Fast Fashion,2009,Fall,22.676844437917072,5.5387832745218954,2.0070339442289926,53.751621341705324,0.29335906178914006,0.19090916678626074,0.5662413205447296,0.7665334081686042,0.29797842510022843,30,-0.8099954467564691,-0.4577275592737324
Lacoste,Fast Fashion,2009,Spring,26.553325784617456,10.061357698990728,2.356308351019869,60.33492594751819,0.2018858499103065,0.1937570257563061,0.6400194837975733,0.7074189839951124,0.37223892504523975,29,-0.9488543234634477,-0.5361965617515785
Lacoste,Fast Fashion,2010,Fall,28.124091625213623,9.512300461781393,2.0808489908171297,33.51039072672526,0.49388546089815594,0.227326202674054,0.4164567401668367,0.6999743965694993,0.3040251910493088,30,1.5046700541045543,0.8502874357324922
Lacoste,Fast Fashion,2010,Spring,29.045630900065103,6.5466841080174785,1.9687678382372804,69.29598776499431,0.35398044631841274,0.21108405212617026,0.7363322976220399,0.7103102479742464,0.3041305452132598,30,-1.0328830600789791,-0.5836811107992307
Lacoste,Fast Fashion,2011,Spring,24.239522139231365,8.791587665836875,1.8362635371828977,67.99197642008464,0.22817644414606814,0.17447847961941113,0.7383597542338693,0.7256127026356283,0.4772925076747313,30,-2.047980197275339,-1.15731141563024
Lacoste,Fast Fashion,2012,Fall,18.513041150980982,8.106203408253432,1.8410075286404817,30.710979198587353,0.27615238976398293,0.14853953066741463,0.3529190069791893,0.6748795645933553,0.48076911012664564,29,-0.18426467001743063,-0.1041277676377069
Lacoste,Fast Fashion,2012,Pre-Fall,28.17838770767738,9.422497533379664,2.319385716172934,26.396964204722437,0.2969419114982773,0.20070703292029207,0.29935254137799266,0.4155018545946939,0.425804168094917,29,1.703347005686485,0.9625595682434844
Lacoste,Fast Fashion,2012,Spring,23.11885331471761,7.41832912009436,1.8233805818485462,52.80265026092529,0.267006139170782,0.1421085809838772,0.5885568690455829,0.6944370561144438,0.3864439489362761,30,-1.3689080175960835,-0.7735684543334065
