brand,tier,year,season,dispersion_mean,dispersion_std,lab_entropy_mean,mean_L,saturation_mean,saturation_std,value_mean,hue_conc_mean,hue_mean,n_images,bw_collection,vix_annual_mean,gdp_growth_world,recession,ecb_rate,eu_gdp_growth,eu_recession,vix_z,gdp_z,ecb_z,eu_gdp_z,disp_season_mean,disp_season_std,dispersion_z,vix_z_lag1,gdp_z_lag1,recession_lag1,ecb_z_lag1,eu_gdp_z_lag1,eu_recession_lag1,cd_change,ARI,aesthetic_mean,aesthetic_std,aesthetic_resid_mean,clip_within_sim,n_clip_images,semantic_boldness
Alexander McQueen,Avant-garde,2009,Spring,26.09999345143636,5.046236046097657,2.643356749277834,52.32509059906006,0.1673383894983678,0.1843768719425735,0.5382674616345825,0.535546250179984,0.2545749237078138,30,0,31.48,-1.31864911944238,1,0.47,-4.31208831896211,0,1.8314551790821203,-2.1502794302560324,-0.1540542943711162,-2.187262510284854,28.247299514770507,4.172587011349416,-0.5146222373538248,2.025728996397518,-0.3971596916267961,1.0,1.860735545903189,-0.2782286042698642,0.0,0,-0.1241100226876805,4.955064935064935,0.3614248971145624,0.2582553263737647,0.8600149750709534,30,0.09257118637475915
Alexander McQueen,Avant-garde,2010,Fall,27.88804580425394,3.729726286418459,2.231335962273802,49.7688444729509,0.3242322951066468,0.1987612977671398,0.5506591054743541,0.8583216168106931,0.3397635058943909,29,0,22.55,4.52424032554684,0,0.25,2.18180099957819,0,0.397682295919724,0.8526972852804117,-0.3285636506153473,0.3273147270236229,31.08010653410287,4.837435119403532,-0.6598663653482796,1.8314551790821203,-2.1502794302560324,1.0,-0.1540542943711162,-2.187262510284854,0.0,1,-0.1044896642171711,5.435192307692308,0.4647052212798627,0.4326736697141294,0.8225586414337158,30,0.7473964205510975
Alexander McQueen,Avant-garde,2010,Resort,27.27777598454402,5.6585525688957405,1.149534699877917,88.859739450308,0.0752181591948923,0.1661146442797187,0.908447362636431,0.7700040792052169,0.1096797108393257,26,0,22.55,4.52424032554684,0,0.25,2.18180099957819,0,0.397682295919724,0.8526972852804117,-0.3285636506153473,0.3273147270236229,23.979147842075815,4.049750277885343,0.8145263080741489,1.8314551790821203,-2.1502794302560324,1.0,-0.1540542943711162,-2.187262510284854,0.0,1,-2.3323306259216814,4.180000000000001,0.518852580219083,-0.3164361346759188,0.8421747088432312,26,0.356404624576255
Alexander McQueen,Avant-garde,2010,Spring,31.51416346232096,7.50097696877443,2.4208405966467144,69.7592207590739,0.2369225625300158,0.2132090633355242,0.7660465420967899,0.4985648117688827,0.4649482125147349,30,0,22.55,4.52424032554684,0,0.25,2.18180099957819,0,0.397682295919724,0.8526972852804117,-0.3285636506153473,0.3273147270236229,30.11242588749151,3.993853956592022,0.3509736685578652,1.8314551790821203,-2.1502794302560324,1.0,-0.1540542943711162,-2.187262510284854,0.0,1,-0.4335275806628498,5.216857142857143,0.4356988151888135,0.399208862144527,0.820817768573761,30,1.335749795531876
Alexander McQueen,Avant-garde,2011,Fall,30.00663204193115,3.612447321116852,2.438346598656044,41.257128429412845,0.2303197338684151,0.196395763450714,0.4485032789614361,0.3802053754537809,0.2895145882556525,30,0,24.2,3.33900335400304,0,0.5,1.96060087405085,1,0.6626011377134476,0.2435399391678105,-0.1302575639741755,0.2416611574512584,30.341401577522017,4.283067147970484,-0.0781611690933893,0.397682295919724,0.8526972852804117,0.0,-0.3285636506153473,0.3273147270236229,0.0,1,0.4749091576256647,5.180144927536232,0.3450596400011388,0.4149905853261599,0.8242233991622925,30,-0.27087182495673284
Alexander McQueen,Avant-garde,2011,Pre-Fall,30.058416684468583,4.6960743988578715,0.9898227020362416,86.12186126708984,0.0702174378484487,0.155951152892582,0.875912420395265,0.7460067540097267,0.1124374209581977,30,0,24.2,3.33900335400304,0,0.5,1.96060087405085,1,0.6626011377134476,0.2435399391678105,-0.1302575639741755,0.2416611574512584,25.83145472353896,5.88773510356102,0.7179266537268414,0.397682295919724,0.8526972852804117,0.0,-0.3285636506153473,0.3273147270236229,0.0,1,-2.2782856998908425,4.280833333333334,0.3531440418380499,-0.150871839617628,0.860946774482727,30,-0.8260870653129592
Alexander McQueen,Avant-garde,2011,Resort,27.50738992009844,11.110619055499054,1.3135375787376888,87.05497251238141,0.0865145128665358,0.1816747750028375,0.8858854358654602,0.8288589583972396,0.1642176361611955,28,0,24.2,3.33900335400304,0,0.5,1.96060087405085,1,0.6626011377134476,0.2435399391678105,-0.1302575639741755,0.2416611574512584,25.98935401306032,4.8510759835041615,0.3129276705209572,0.397682295919724,0.8526972852804117,0.0,-0.3285636506153473,0.3273147270236229,0.0,1,-2.135891182934033,4.56551724137931,0.3995317456267356,-0.0503641099255495,0.875237762928009,29,-0.9185950001470508
Alexander McQueen,Avant-garde,2011,Spring,34.3291296005249,6.277767591382029,2.7364999467323297,55.90462220509847,0.1596104491143797,0.20501886371217,0.5695241910917683,0.417128547966125,0.2816535223824489,30,0,24.2,3.33900335400304,0,0.5,1.96060087405085,1,0.6626011377134476,0.2435399391678105,-0.1302575639741755,0.2416611574512584,31.07750218582153,4.140349229772405,0.7853510016308728,0.397682295919724,0.8526972852804117,0.0,-0.3285636506153473,0.3273147270236229,0.0,1,0.1828923898127432,5.398596491228071,0.3629956640654621,0.8909668698234973,0.8392741084098816,30,0.5187056749833453
Alexander McQueen,Avant-garde,2012,Fall,33.51944249471028,4.200862356521531,1.6580990082970215,57.52244078318278,0.1311117976357539,0.2161974793007725,0.5969377818019129,0.8666007319239616,0.450169025898435,30,0,17.8,2.73120979279709,0,0.13,-0.764417073932009,1,-0.3649628546985719,-0.068838025422928,-0.4237505722031098,-0.8135259218374611,30.276197101680715,3.949235522805516,0.8212337234132806,0.6626011377134476,0.2435399391678105,0.0,-0.1302575639741755,0.2416611574512584,1.0,0,-0.6902424894277035,5.127205882352941,0.3903838355636143,0.5953809880349615,0.7967456579208374,30,-0.18662614176686929
Alexander McQueen,Avant-garde,2012,Pre-Fall,35.072597835374914,4.142664610569491,1.4634283402637536,79.88998446257219,0.1210186468591994,0.2143116725226744,0.8212392171982918,0.8164662914232624,0.6650406396623053,23,0,17.8,2.73120979279709,0,0.13,-0.764417073932009,1,-0.3649628546985719,-0.068838025422928,-0.4237505722031098,-0.8135259218374611,29.306656446979357,4.538183394815057,1.270539527993345,0.6626011377134476,0.2435399391678105,0.0,-0.1302575639741755,0.2416611574512584,1.0,0,-1.4379113736322686,4.89375,0.498657436654097,0.3332142045374606,0.8874445557594299,24,-0.12086402089310808
