key,brand,tier,year,season,segmented,dispersion,lab_entropy,mean_L,mean_saturation,std_saturation,mean_value,hue_concentration,mean_hue
27072,Tory Burch,Fast Fashion,2016,Pre-Fall,True,32.112648010253906,2.6398883234205415,61.13886642456055,0.2887185681667178,0.3347027844855896,0.6419294225014747,0.3996433958758819,0.3268365965671837
627385,Tory Burch,Fast Fashion,2012,Spring,True,32.87919616699219,2.4158293240309736,63.22606658935547,0.381684273481369,0.2781175076961517,0.7791137099266052,0.8034374117851257,0.6472185254096985
1003962,Tory Burch,Fast Fashion,2009,Resort,True,25.367338180541992,2.297952734272749,28.64841079711914,0.2203096237890422,0.1303220312176058,0.321239222317934,0.6521603794083553,0.6425478057134897
592324,Isabel Marant,Fast Fashion,2017,Fall,True,33.46744918823242,2.6964019530180496,29.59725570678711,0.5756082534790039,0.2591389715671539,0.4036549031734466,0.6852777004241943,0.7598702311515808
238553,Isabel Marant,Fast Fashion,2021,Spring,True,24.63154029846191,1.881921865488345,38.956932067871094,0.7444632649421692,0.1989498138427734,0.6159843802452087,0.942452907562256,0.5999736189842224
424659,Tommy Hilfiger,Fast Fashion,2000,Spring,True,36.88479232788086,2.289498317765973,47.74755096435547,0.470891535282135,0.2400946915149688,0.6442980170249939,0.417001724243164,0.7074570059776306
726540,Tommy Hilfiger,Fast Fashion,2009,Fall,True,23.804140090942383,1.4139627017451175,60.29108047485352,0.460685670375824,0.1850917786359787,0.6765097975730896,0.9906792044639589,0.0932317525148391
115849,Isabel Marant,Fast Fashion,2023,Spring,True,22.962326049804688,3.1483713912321423,64.25800323486328,0.168136398492381,0.176839034599732,0.6483058951944113,0.5545741612936855,0.4818868106752634
507089,Tory Burch,Fast Fashion,2017,Resort,True,30.62722396850586,2.7246927867045896,24.631425857543945,0.2540093687921762,0.2371368876124126,0.2643843185100704,0.8243170593471183,0.2643904003091156
771684,Tommy Hilfiger,Fast Fashion,2017,Fall,True,27.600969314575195,2.571920770958795,30.248815536499023,0.2805187764428556,0.2191698062387639,0.3267372644487768,0.1060437375372596,0.3757300477456301
169658,Vanessa Bruno,Fast Fashion,2011,Fall,True,17.559175491333008,2.4750915921565952,73.74431610107422,0.0790587909258902,0.1007558327375394,0.7368078555697575,0.6862602269009371,0.2013181995395571
903984,Isabel Marant,Fast Fashion,2010,Spring,True,26.855449676513672,2.761932235757081,58.305686950683594,0.2276782393455505,0.2182004898786544,0.6088000535964966,0.7879989743232727,0.4063140153884887
11134,Tommy Hilfiger,Fast Fashion,2003,Fall,True,15.564663887023926,1.827106019234443,21.221969604492188,0.09890754442662,0.1267374343186786,0.2184941225191578,0.6963392367119652,0.6201479971539229
809953,Vanessa Bruno,Fast Fashion,2015,Fall,True,16.292585372924805,2.6472129945945504,22.184341430664062,0.3980778753757477,0.218508243560791,0.2711686491966247,0.4737567901611328,0.7180911898612976
219530,Vanessa Bruno,Fast Fashion,2013,Fall,True,19.08600616455078,2.2378801196858618,20.36284446716309,0.2766807888485491,0.1704686347925237,0.2333568685743957,0.5667257219905998,0.5356507148966193
717294,Lacoste,Fast Fashion,2021,Spring,True,31.32663345336914,1.5863616272689711,61.74422836303711,0.5146132707595825,0.3077891767024994,0.7427059412002563,0.9803163409233092,0.082731582224369
116279,Tommy Hilfiger,Fast Fashion,2008,Fall,True,23.53379249572754,1.273144225573818,56.971168518066406,0.3162862956523895,0.2506983876228332,0.6025646924972534,0.994789719581604,0.0943603813648223
510736,Tommy Hilfiger,Fast Fashion,2018,Fall,True,21.07595443725586,2.6671617826381526,17.715808868408203,0.2312754428386688,0.2363986389457159,0.2171921628918498,0.700840858349676,0.5387836740922648
142309,Tommy Hilfiger,Fast Fashion,2016,Spring,True,38.790504455566406,2.7953587555329986,51.473628997802734,0.4130634016245603,0.2678059875373837,0.630156872279942,0.3196617662720878,0.5437398913139477
498468,Lacoste,Fast Fashion,2012,Spring,True,12.857097625732422,1.2745185598672004,24.79967498779297,0.2702567875385284,0.0648287013173103,0.2942823767662048,0.853675365447998,0.6073474884033203
179616,Tory Burch,Fast Fashion,2009,Spring,True,17.162010192871094,1.2139690150866105,52.83745574951172,0.4822509884834289,0.1318301707506179,0.6072157025337219,0.9597905278205872,0.0963568612933158
750626,Isabel Marant,Fast Fashion,2015,Fall,True,32.80802536010742,2.511926899415416,70.3764877319336,0.1297619952205568,0.2056747326451037,0.720933340523392,0.8862398152328084,0.182484208073467
162439,Tommy Hilfiger,Fast Fashion,2011,Spring,True,28.236108779907227,1.7342728797537108,73.74583435058594,0.3549623927511275,0.2371518153525537,0.897074513964355,0.9112819307298904,0.7620812557153404
433533,Tory Burch,Fast Fashion,2012,Fall,True,26.44256591796875,2.871962870069963,38.51653289794922,0.1771063650175929,0.1646080782759579,0.3967058920972049,0.7054859043633817,0.3432961997576058
753039,Tory Burch,Fast Fashion,2010,Spring,True,33.99266815185547,2.8014238864669037,35.819393157958984,0.340044292666018,0.2725749730376932,0.4006588305206969,0.2743106112628704,0.4489041773434728
780323,Lacoste,Fast Fashion,2021,Fall,True,18.617755889892575,1.6740237093347496,17.62856674194336,0.6870121359825134,0.191825196146965,0.2783764600753784,0.846390426158905,0.6116493940353394
290489,Tommy Hilfiger,Fast Fashion,2010,Fall,True,24.859174728393555,2.932879859264851,31.540393829345703,0.2769917685501277,0.2279363145639658,0.341200009515509,0.3684780604774171,0.5067732092682272
453083,Lacoste,Fast Fashion,2021,Spring,True,32.90602111816406,1.6286500799829309,64.3984603881836,0.4520981311798095,0.2650371491909027,0.7141804099082947,0.7715294361114502,0.1551321148872375
664563,Tory Burch,Fast Fashion,2021,Spring,True,26.598085403442383,2.0316441666178116,59.8738899230957,0.3083812754824757,0.2253690005304469,0.6391529539823532,0.945224740588574,0.113425329953432
632020,Isabel Marant,Fast Fashion,2018,Fall,True,31.497228622436523,1.5760278276928694,49.00453186035156,0.4421646522842347,0.2776410015633168,0.5782588353827596,0.9636467671186324,0.1134458541311323
243102,Tommy Hilfiger,Fast Fashion,2012,Fall,True,29.01424789428711,1.94942705689419,46.56354141235352,0.5044819687865675,0.3332770321551224,0.5065176593586802,0.9005840784781897,0.1659741091057658
322162,Tommy Hilfiger,Fast Fashion,2014,Fall,True,15.649568557739258,2.2709181919136068,14.385818481445312,0.2747393602300435,0.1932258487340956,0.1755372599512338,0.6423301785018497,0.5723453587237746
895372,Isabel Marant,Fast Fashion,2015,Spring,True,27.559587478637695,2.143198746954919,60.391597747802734,0.2263185083866119,0.2105044573545456,0.6290116906166077,0.9546981453895568,0.1214864626526832
576648,Vanessa Bruno,Fast Fashion,2019,Fall,True,34.784061431884766,2.008461554500447,59.43775177001953,0.197455957531929,0.1093872413039207,0.6320470571517944,0.9729392528533936,0.1124439537525177
274179,Lacoste,Fast Fashion,2012,Fall,True,29.46360969543457,2.0166177178088187,27.586977005004883,0.2802449564971029,0.1430209568826345,0.3130353002520278,0.4994503086448397,0.5003831206038595
880156,Tory Burch,Fast Fashion,2018,Fall,True,39.10919189453125,2.3106237828634857,45.66747283935547,0.2419279813766479,0.1847939044237136,0.5139843225479126,0.460112452507019,0.4509743750095367
406667,Isabel Marant,Fast Fashion,2016,Fall,True,19.222341537475582,2.922724145040191,26.057464599609375,0.2410054949056357,0.1925154948836748,0.2778117719115689,0.3483720986909291,0.3247193356035277
574027,Lacoste,Fast Fashion,2011,Spring,True,31.075841903686523,0.7385868219772496,53.67987823486328,0.8124449253082275,0.2184274047613144,0.8673255443572998,0.925766110420227,0.085081972181797
742972,Lacoste,Fast Fashion,2014,Spring,True,20.79147720336914,2.35038101234895,61.94295501708984,0.1614340245723724,0.1151585206389427,0.6250744462013245,0.8444857001304626,0.1710868775844574
1151,Lacoste,Fast Fashion,2009,Spring,True,46.09861373901367,2.7394798366491155,62.93255615234375,0.3827855587005615,0.3844140172004699,0.7233883142471313,0.3101646304130554,0.5392424464225769
119373,Lacoste,Fast Fashion,2015,Fall,True,24.24635887145996,1.925964458507377,17.51641082763672,0.4071196913719177,0.2162559032440185,0.2087137401103973,0.9245625138282776,0.6086305975914001
111007,Lacoste,Fast Fashion,2006,Spring,True,27.492610931396484,2.5899249412269945,58.01652526855469,0.4095033705234527,0.3224351406097412,0.6100313663482666,0.6198351383209229,0.4705451726913452
264176,Tommy Hilfiger,Fast Fashion,2011,Fall,True,11.441865921020508,3.087761038703539,8.890750885009766,0.3821583589762449,0.3242642324582856,0.1143058854490518,0.4960183063483124,0.4073861534753814
